id,name,memberType,partyName,color,voteType,reference,bio
c2443,สุนทร คมคาย,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2859,สมชาติ เตชถาวรเจริญ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2870,เฉลิมพงศ์ แสงดี,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2883,ฐิติกันต์ ฐิติพฤฒิกุล,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3929,ณัฐพงษ์ สุมโนธรรม,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3939,ศิริโรจน์ ธนิกกุล,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3949,ศิรสิทธิ์ สงนุ้ย,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c927,จิรัฏฐ์ ทองสุวรรณ์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3384,ทิพา ปวีณาเสถียร,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3405,ชลธานี เชื้อน้อย,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3416,รภัสสรณ์ นิยะโมสถ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c3982,สรพัช ศรีปราชญ์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2529,ทวิวงศ์ โตทวิวงศ์,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2537,ชริน วงศ์พันธ์เที่ยง,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c2686,ปดิพัทธ์ สันติภาดา,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
